Nome,ate1930,ate1940,ate1950,ate1960,ate1970,ate1980,ate1990,ate2000,ate2010
MARIA,336477,749053,1487042,2476482,2495491,1616019,917968,544296,1111301
ANA,33395,56160,101259,183941,292835,421531,529266,536302,935169
JOAO,60155,141772,256001,396438,429148,279975,273960,352552,794118
GABRIEL,1267,2744,4256,6095,6559,9103,46996,271405,584024
LUCAS,388,937,1593,2787,4425,9954,84484,517436,505306
PEDRO,21483,49143,86926,126205,132795,87427,97975,174376,443275
MATEUS,269,635,1179,1875,2829,6505,26373,218839,330315
JOSE,118121,311202,648754,1082782,1242231,942212,661123,431536,316568
GUSTAVO,420,888,1336,2522,5429,24792,60934,140109,305050
VITORIA,1657,3030,4388,4603,4087,3834,4522,58412,284471
GUILHERME,1174,2392,3642,5118,7297,12791,53137,164339,279111
CARLOS,4659,15620,53410,154038,267228,258333,270843,198370,266690
JULIA,9449,14057,16392,15919,13045,10210,20470,66542,265758
VITOR,894,3062,5383,7355,8367,10461,34925,107953,244503
FELIPE,600,1173,1750,2462,3719,12447,107869,263480,227960
LETICIA,715,1406,1781,2153,3647,11920,49759,154888,209359
MARCOS,777,2182,8840,38435,137775,256225,241551,219198,201182
RAFAEL,927,2426,3999,5687,8024,27396,262250,314959,195970
LUIZ,11073,31114,74213,162493,198312,146253,141548,147996,194790
DANIEL,1425,4601,10500,20672,38949,78204,171147,191287,194553
EDUARDO,2036,5136,11591,25775,47020,88801,125103,135005,192197
MATHEUS,90,203,298,470,684,2370,13765,142256,190298
LUIS,7632,20369,48056,113470,162943,131786,128991,137506,185152
AMANDA,363,541,549,645,1167,10041,67255,209251,176620
BRUNO,599,1351,2071,2595,4080,17911,172313,291524,175773
BEATRIZ,2201,4281,6426,9963,13982,15980,25206,107143,171169
GABRIELA,457,668,685,793,1275,9710,50338,147946,169778
LARISSA,24,44,99,140,595,3627,28327,159578,169411
PAULO,6234,20739,60073,163158,264587,274744,259594,211265,162868
