wdId,itemLabel
Q6774,Samantha
Q20020,Veronica
Q20187,Olga
Q25611,Gyöngyi
Q43878,Enikő
Q80347,Hiltrud
Q108631,Katherine
Q113240,Irmela
Q123699,Galina
Q127733,Giulia
Q128373,Jovita
Q128673,Gyöngyvér
Q141520,Liane
Q142857,Soraya
Q143995,Sonya
Q153957,Barbara
Q160626,Lubina
Q163495,Þóra
Q164555,Bożena
Q167755,Astrid
Q168233,Zoe
Q168434,Romy
Q168911,Zdena
Q173877,Gaëlle
Q181346,Walburga
Q181377,Edda
Q182861,Lila
Q187309,Ethel
Q191379,Zephyrine
Q196769,Zeruja
Q206111,Scota
Q206748,Ziva
Q207106,Zlata
Q220739,Sylwestra
Q221215,Teodora
Q221332,Bernarda
Q221396,Agatha
Q221815,Leonóra
Q221839,Fatima
Q222053,Doreen
Q222278,Telma
Q222327,Gretha
Q225940,Tünde
Q228101,Hermiona
Q228162,Gina
Q229227,Carola
Q241290,Vilja
Q241356,Nadezhda
Q248718,Midori
Q250267,Nora
Q250622,Álfrún
Q253010,Katia
Q253493,Raffaella
Q253589,Oktawia
Q254254,Élodie
Q255209,Mercedes
Q256685,Vinayaki
Q257176,Benigna
Q259792,Yeliz
Q262119,Pamela
Q262891,Vjenceslava
Q264002,Charlotte
Q269339,Fruzsina
Q271245,Åse
Q272859,Çiğdem
Q277783,Thora
Q278742,Danuta
Q280291,Balbina
Q280570,Synke
Q283277,Mandy
Q290587,Eulalia
Q291930,Prakseda
Q300804,Aagje
Q301657,Viola
Q303407,Aase
Q307789,Özge
Q307915,Özlem
Q324511,Valdís
Q324514,Ásdís
Q324528,Aslaug
Q324532,Vigdís
Q324544,Hjördis
Q325872,Maria
Q334769,Ülkü
Q335937,Adelinde
Q337257,Saskia
Q338015,Beata
Q339930,Nanako
Q344002,İrem
Q346047,Ada
Q348680,Irmgard
Q351311,Juliane
Q354370,Adele
Q354633,Adelaide
Q355279,Scholastika
Q355848,Janina
Q357255,Adile
Q357313,Adina
Q357589,Aditi
Q360413,Evdokia
Q362403,Carina
Q363820,Delia
Q364960,Adolfine
Q372399,Boglárka
Q373803,Thalia
Q374807,Adriana
Q375542,Nerissa
Q377369,Adrienne
Q378694,Georgia
Q378867,Iris
Q379029,Salome
Q381351,Hannelore
Q382158,Afet
Q384753,Mohini
Q385468,Elizabeth
Q386156,Waltraud
Q387682,Vicenza
Q388643,Afsahne
Q389039,Şiir
Q389528,Irene
Q391321,Jacqueline
Q392807,Šárka
Q394148,Živilė
Q394431,Agnes
Q395150,Agnė
Q403821,Aida
Q405000,Aila
Q405609,Aimie
Q405772,Aimee
Q406044,Aino
Q408729,Airinė
Q410184,Aistė
Q417253,Akemi
Q423662,Akua
Q424327,Akvilė
Q427407,Parascève
Q429948,Laura
Q430546,Liliana
Q440735,Elke
Q445731,Christa
Q447379,Femme
Q450441,Alyssa
Q452690,Amalberga
Q453020,Amalia
Q453544,Amana
Q453722,Amanda
Q453946,Kinga
Q456808,Amber
Q460996,Sakina
Q461718,Amelia
Q471514,Aminata
Q474402,Amparo
Q476059,Roswitha
Q477534,Dilara
Q477560,Amrei
Q479129,Aba
Q481809,Amy
Q482671,Ana
Q484175,Silke
Q484236,Anahí
Q488363,Vibeke
Q491379,Lieke
Q492624,Maike
Q493639,Meryl
Q495538,Sietske
Q495579,Rochelle
Q497612,Paulette
Q503594,Adelinda
Q503607,Rebecca
Q503785,Q503785
Q504231,Q504231
Q505008,Adolfa
Q505908,Debora
Q507318,Melizanda
Q509729,Gertrude
Q510613,Italia
Q511390,Anya
Q512153,Zsófia
Q512586,Csilla
Q512920,Edina
Q517046,Aglaja
Q517080,Q517080
Q517366,Nobuko
Q521264,Brynhild
Q523677,Tertulia
Q524537,Kimberly
Q529410,Anete
Q529452,Anett
Q533466,Ilse
Q533686,Angèle
Q537941,Ramóna
Q538048,Pirkko
Q541194,Emma
Q541364,Norma
Q542211,Ornella
Q543740,Apolinaria
Q546126,Griselda
Q548056,Jusztina
Q549202,Anissa
Q551557,Anjuli
Q553109,Aina
Q554571,Q554571
Q554684,Q554684
Q554888,Q554888
Q555728,Q555728
Q558067,Ann
Q563325,Anna Sophia
Q564025,Annabel
Q564327,Annalena
Q564393,Annalisa
Q564684,Anne
Q564776,Anne-Kathrin
Q566000,Annegret
Q566045,Anneke
Q566093,Annelie
Q566131,Anneliese
Q566243,Anna Maria
Q566390,Annemie
Q566410,Annemieke
Q566477,Annett
Q566893,Annie
Q567094,Annika
Q567178,Annikki
Q567435,Anny
Q571104,Antara
Q572868,Meritites
Q574510,Flavia
Q576194,Q576194
Q577032,Eunika
Q578453,Ragna
Q578976,Rixt
Q582903,Rossana
Q588617,Teofánia
Q590893,Victoria
Q591273,Saoirse
Q596638,Antonella
Q598081,Afra
Q599668,Erna
Q600381,Elmira
Q601533,Montserrat
Q602589,Smeralda
Q602647,Elfrida
Q602977,Simone
Q603701,Sára
Q605103,Amadea
Q606907,Anitra
Q607350,Virginia
Q608738,Ava
Q610489,Florentina
Q612706,Cyryla
Q612807,Maksyma
Q615620,Raisa
Q615694,Aoife
Q617272,Josefa
Q617751,Aparna
Q619325,Apollonia
Q621435,Aletta
Q621915,April
Q622583,Alfonzin
Q626780,Araxi
Q630846,Jessica
Q632264,Olivia
Q632389,Oliva
Q632390,Marsha
Q632416,Archana
Q634193,Arianrhod
Q634916,Sigrid
Q636461,Kendra
Q638777,Fatime
Q643838,Delfina
Q644599,Ida
Q645412,Diana
Q646312,Evi
Q646616,Jarmila
Q647372,Krescencja
Q647872,Irma
Q649921,Alida
Q650324,Alina
Q650383,Q650383
Q650689,Alice
Q651493,Demetria
Q654581,Lena
Q654850,Ariana
Q655722,Ina
Q656590,Ingeborg
Q656698,Regina
Q656870,Alma
Q657732,Almira
Q659041,Aloisia
Q659189,Vera
Q659757,Dragana
Q661572,Arina
Q662373,Fiona
Q663072,Rut
Q665407,Jana
Q666578,Anna
Q666954,Josephine
Q668902,Devi
Q671381,Arjeta
Q673677,Giuseppina
Q790023,Auður
Q791178,Aviva
Q791463,Q791463
Q792015,Q792015
Q792844,Benedikta
Q792862,Aydan
Q792945,Benjamina
Q793066,Aylin
Q793295,Aysel
Q793417,Ayşegül
Q793790,Bertilla
Q794282,Bettina
Q803661,Bahriye
Q804338,Blanka
Q804416,Blazsena
Q804524,Blondina
Q807877,Barbro
Q810649,Bastienne
Q817185,Bengi
Q820698,Berit
Q822107,Alfreda
Q826489,Bernhild
Q827789,Bertheid
Q829665,Eva
Q830177,Lilla
Q830357,Melissa
Q830479,Réka
Q831123,Cordelia
Q831189,Candida
Q831245,Ivana
Q831434,Betina
Q831559,Silvana
