wdId,itemLabel
Q263116,Micha
Q265409,Libor
Q265867,Darius
Q266749,Placid
Q267401,Facundo
Q271370,Ælfwald
Q272330,Çakar
Q272796,Çetin
Q273754,Éder
Q278835,Edward
Q280684,Toivo
Q280861,Endre
Q283219,Ajit
Q290080,Vytautas
Q290693,Nándor
Q292691,Ernst
Q294054,Ödön
Q294833,Alan
Q297611,Öner
Q300770,Aad
Q300777,Aadolf
Q300780,Aadu
Q302038,Tihamér
Q307288,Abdul-Malik
Q307378,Abderramão
Q307542,Abda
Q307578,Abdullah
Q307694,Özay
Q307901,Abdelkader
Q307910,Özkaya
Q307967,Abdelkarim
Q317304,Abdul Karim
Q317315,Øystein
Q317333,Abdul Latif
Q317438,Abdur Razzaq
Q317520,Abdul Qadir
Q318375,Abel
Q334808,Ümit
Q334826,Abu Bakr (desambiguação)
Q336958,Beat
Q337400,Ludger
Q340285,Achille
Q340348,Achim
Q340531,Achisch
Q342004,Đorđe
Q343153,İbrahim
Q343476,İhsan
Q343579,İlhan
Q343835,Ilyas
Q344119,İsmail
Q345708,Taichi
Q346622,Hilding
Q347181,Adam
Q347243,Adalbert
Q348263,Adalnot
Q348332,Adalward
Q348454,Kármán
Q348946,Renato
Q352161,Adamus
Q352883,Addi
Q353737,Deodato
Q354507,Raphael
Q355713,Malte
Q359360,Adnan
Q361309,Mike
Q361650,Loïc
Q362868,Chlodwig
Q364753,Carlos
Q364943,Adolfas
Q364977,Adolfo
Q365625,Adolphe
Q365967,Adolphus
Q366030,Adomas
Q367122,Gaius
Q368314,Carles
Q370292,Oleg
Q370731,August
Q372048,Luiz Carlos
Q372250,Adrian
Q373257,Boleslaw
Q375094,Rostam
Q376265,Mamoru
Q376340,Narciso
Q378160,Archip
Q381098,Benno
Q381702,Horst
Q386015,Hamish
Q386299,Doroteu
Q387792,Aladár
Q387979,Şadi
Q388849,Şenol
Q389013,Şevket
Q390603,Şiyar
Q390678,Şükrü
Q391265,Šarūnas
Q393037,Agesander
Q393389,Žarko
Q393927,Žibartas
Q394055,Agis
Q394062,Žilvinas
Q394353,Žydrūnas
Q394380,Žygimantas
Q395238,Agon
Q396447,Maxim
Q400246,Ahilan
Q401836,Edmund
Q403277,Borut
Q403922,Aidas
Q405626,Aimo
Q406294,Ahmad
Q411069,Aivar
Q411091,Aivaras
Q411110,Aivars
Q412582,Ajoy
Q413404,Харитон
Q415295,Akai
Q416744,Willy
Q417602,Akgün
Q418008,Akif
Q419680,Akkan
Q423632,Aktürk
Q424496,Mukesh
Q424622,Akça
Q429025,Masahiro
Q429542,Pau
Q430050,Lukyan
Q430699,Eddie
Q432161,Igor
Q444211,Altor
Q444937,Nino
Q448671,Carmine
Q449599,Alvydas
Q454274,Amando
Q456870,Eik
Q461796,Amelius
Q462547,Kent
Q462601,Amenhotep
Q463035,Douglas
Q471788,Joseph
Q472066,Erling
Q473285,Ammiel
Q473694,Børge
Q475210,Juan
Q476155,Enoch
Q477088,Vishvakarman
Q479503,Q479503
Q479647,Abdon
Q479670,Abdul Majid
Q479963,Abelárd
Q480911,Absolon
Q482014,Q482014
Q482079,Q482079
Q482154,Amédée
Q483460,Anacleto
Q486457,Anas
Q487496,Sievert
Q487568,Anatoliy
Q488359,Jorn
Q488642,Eevert
Q490500,Ander
Q491813,Andhaka
Q492282,Andoni
Q492347,Andor
Q492730,Lambert
Q493190,Bogusław
Q495635,Colin
Q499249,Walter
Q503175,Andrejus
Q505357,Q505357
Q505365,Q505365
Q505437,Adorján
Q507605,Ludolf
Q508553,Gavin
Q508894,Åke
Q510402,Andries
Q511611,Andrin
Q511666,Andris
Q513286,Benedek
Q514891,Agamemnon
Q515050,Q515050
Q516290,Aggeusz
Q516350,Kei
Q520762,Ata
Q521681,Sebald
Q526726,Menyhért
Q527995,Kazimieras
Q531710,Ervin
Q533053,Elio
Q533503,Edy
Q538847,Bradley
Q539504,Silvio
Q539581,Victor
Q544124,Jakov
Q545244,Nataraja
Q545486,Marian
Q545971,Eugene
Q546111,Anian
Q550334,Anatol
Q550506,Heriberto
Q552092,Q552092
Q741,Jaroslav
Q923,Alexander
Q1557,Simeon
Q4642,Marcus
Q20164,Sergius
Q20790,Lukas
Q24223,Iurie
Q29884,Ville
Q37080,Leon
Q42771,Nicholas
Q43868,Hjörtur
Q51394,Andrés
Q59533,Pontus
Q75781,Barak
Q113098,Tahir
Q117599,Ronny
Q120408,Artem
Q120416,Gunnar
Q123426,Fikri
Q123546,Gaudenz
Q123651,Caesar
Q127069,Ivar
Q140065,Zadoc
Q140502,Zahar
Q140526,Zaharije
Q142931,Minoru
Q143054,Dídac
Q145172,Zalmay
Q159713,Klemens
Q165054,Marat
Q168280,Dušan
Q168563,Jiří
Q168932,Zdenko
Q168960,Zdeněk
Q169154,Zdravko
Q169279,Ze'ev
Q174115,Tivadar
Q174336,Csanád
Q174506,Atabeg
Q175279,Vilho
Q178083,Zvezdan
Q179033,Illés
Q179610,Alvin
Q180312,Torben
Q180488,Osmar
Q180515,Siegbald
Q187228,Zekeriya
Q187250,Zeki
Q187603,Thorolf
Q187837,Jacek
Q189775,Zenonas
Q191374,Zephyrin
Q197032,Zeuxippos
Q197531,Zhe
Q199055,Ziemowit
Q199417,Zigmantas
Q199420,Zigmas
Q199898,Slaven
Q200600,Selahattin
Q201260,Aristion
Q203056,Vilius
Q203150,Rino
Q203232,Erhard
Q203255,Jaromir
Q203631,Ragıp
Q204039,Ásgeir
Q205027,Perry
Q205696,Bonifaz
Q206995,Ziya
Q207142,Zlatko
Q211024,Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116
Q211877,Yakup
Q215780,Tomaz
Q220484,Zoran
Q220546,Frank
Q221774,Édouard
Q221978,Bernhard
Q222412,Gaetan
Q225020,Diomede
Q225099,Saburo
Q225898,Jagiełło
Q226904,Zoticus
Q227327,Zsolt
Q231342,Zvi
Q238771,Gervasio
Q240255,Kåre
Q240702,Timon
Q240790,Napoleone
Q240931,Edwin
Q241658,Malachia
Q245304,Zygmunt
Q246629,Božidar
Q250661,Álmos
Q252247,Árni
Q252558,Ásmundur
Q252934,Aegidius
Q253551,Seren
Q256463,Pascal
Q256719,Rabih
Q262439,Ólafur
Q554769,Ajtony
Q554852,Ajád
Q554863,Ajándok
Q557682,Q557682
Q558974,Aladin
Q568979,Mariano
Q569694,Ansgar
Q570167,Anssi
Q570669,Antal
Q571050,Ardian
Q571530,Ante
Q575207,Alois
Q575692,Q575692
Q575896,Aldric
Q576970,Boudewijn
Q577011,Albert
Q579371,Bruce
Q581143,Alban
Q581723,Isaak
Q581849,Kancjusz
Q582148,Halldór
Q587130,Vít
Q588700,Joel
Q591929,Angus
Q594279,Henrik
Q595105,Ernest
Q599297,Antoninus
Q600552,Radomir
Q600823,Armel
Q602138,Witold
Q602559,Baldomero
Q602968,Zenon
Q605821,Rufus
Q605834,Kevin
Q606213,Antonios
Q606764,Leo
Q607395,Calixto
Q607721,Medard
Q608366,Ishana
Q609564,Antti
Q610111,Salvatore
Q610473,Sozont
Q610478,Arlo
Q612659,Nobuo
Q613014,Bert
Q613243,Macuto
Q615329,Anđelko
Q615417,Anže
Q615592,Kazuma
Q616997,Conor
Q621180,Alen
Q628471,Donato
Q629347,Samuel
Q630328,Kasjusz
Q632842,Hans
Q632894,Dankwart
Q634062,Faustus
Q639292,Dennis
Q639589,Galeazzo
Q639748,Esra
Q639762,Guido
Q642254,Graham
Q643507,Aureusz
Q643816,Arfst
Q645672,Ingmar
Q645699,Oto
Q645734,Alfredo
Q645737,Alfréda
Q645757,Arne
Q646082,Kalevi
Q646303,Trond
Q646313,Algernon
Q646770,Kleofas
Q646973,Torgny
Q647875,Jerome
Q649085,Saddam
Q650375,Stefano
Q653298,Vitaly
Q654658,Quintien
Q655739,Homero
Q656520,Nepomucene
Q658962,Bonifatius
Q659150,Jeremias
Q660206,Trygve
Q660892,Arik
Q661107,Kunibert
Q661284,Nigel
Q661482,Arimantas
Q661884,Alpár
Q662251,Borivoje
Q664832,Aristeides
Q664915,Leander
Q665812,Apollo
Q666112,Boris
Q668036,Roar
Q668885,Harry
Q671199,Arjen
Q672393,Arkád
Q672415,Chryzant
Q674360,Cyril
Q675106,Terenzio
Q676574,Csobán
Q676823,Werner
Q676984,Armanas
Q677191,James
Q677210,Silvano
Q677750,Liberiusz
Q679499,Gisbert
Q680426,Predrag
Q681468,Enrique
Q682250,Wespazjan
Q685963,Amadeus
Q686532,Ivo
Q686636,Amand
Q688492,Armindo
Q690848,Arnar
Q693486,Arnfried
Q693927,Arnim
Q694010,Virgilio
Q695472,Aminta
Q695486,Amir
Q696811,Arnoldas
Q697234,Arnošt
Q704650,Arsenije
Q706870,Artemon
Q713322,Artyom
Q714052,Artturi
Q714680,Horacy
Q714912,Celestyn
Q715015,Graziano
Q715082,Eneasz
Q715089,Gelasio
Q715611,Serafino
Q716007,Artūras
Q716501,Arun
Q717011,Arvid
Q717430,Arvo
Q717551,Arvydas
Q721398,Asbjørn
Q726249,Ashraf
Q726554,Regimantas
Q728200,Jean-Jacques
Q730346,Asim
Q731899,Ignazio
Q732169,Taavi
Q732171,Eoin
Q733343,Gastone
Q734497,Paride
Q736210,Atanas
Q739162,Assan
Q739251,Assar
Q739551,Silverio
Q741079,Nebojša
Q741601,Sulpicjusz
Q741780,Alighiero
Q742506,Widukind
Q743317,Staffan
Q743332,Rhys
Q745125,Antenor
Q746076,Gustav
Q747553,Asterion
Q749750,Gunde
Q749802,Liberat
Q750186,Erik
Q750897,Onesimo
Q751974,Iker
Q752665,Hashim
Q753413,Atanasije
Q757375,Atle
Q758307,Atze
Q759028,Audrius
Q759036,Audronius
Q759056,Audun
Q761570,Jade
Q764192,Yoshiyuki
Q765222,Ottavio
Q768175,Augustinas
Q768196,Lewis
Q768847,Augustinus
Q769032,Augusto
Q770041,Augustus
Q771150,Auke
Q771948,Aulis
Q772229,Q772229
